community,size,organization,angle,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,x_mds,y_mds,distance
0,13085,RIPE,81.13,0.07,0.89,227.43,5.431236911557842,0.0,1.0,0.64,0.06,0.0,0.0,0.73,4.68,4.74
1,12256,ARIN,133.2,0.67,0.23,164.72,5.1103008653129685,8.86,0.0,0.4,0.1,0.0,0.0,-4.35,4.63,6.35
2,12732,LACNIC,62.69,0.1,0.76,206.7,5.336111098211981,2.63,1.0,0.71,0.01,0.0,0.0,1.86,3.61,4.06
3,10145,APNIC,74.59,0.08,0.68,179.1,5.193528732805323,6.57,1.0,0.58,0.03,0.0,0.0,0.92,3.34,3.46
4,42,AFRINIC,329.31,0.11,0.03,1.11,0.7450373786525416,129.43,0.79,1.0,0.0,0.0,0.0,1.7,-1.01,1.98
5,192,ARIN,317.43,0.03,0.14,1.89,1.0629531715798086,120.65,0.55,1.0,0.0,0.0,0.0,1.05,-0.96,1.42
6,21,RIPE,317.58,0.1,0.02,0.7,0.5285811263035377,135.4,0.62,1.0,0.0,0.0,0.0,1.35,-1.24,1.83
7,9,RIPE,318.65,0.17,0.0,0.26,0.234446115609538,143.53,0.62,1.0,0.0,0.0,0.0,1.63,-1.43,2.17
8,8,ARIN,228.16,0.1,0.0,0.24,0.2138223126150434,144.1,0.32,0.0,0.0,0.0,0.0,-1.14,-1.27,1.71
9,2,APNIC,235.25,0.0,0.0,0.03,0.0259965255951733,149.28,0.16,0.0,0.0,0.0,0.0,-1.28,-1.85,2.25
10,2500,RIPE,45.77,0.03,0.92,53.35,3.995495444626355,39.65,1.0,0.75,0.03,0.0,0.0,1.81,1.86,2.6
11,4,LACNIC,298.54,0.0,0.0,0.05,0.0520762009866616,148.56,0.42,1.0,0.0,0.0,0.0,0.96,-1.76,2.0
12,10,ARIN,299.79,0.0,0.06,0.18,0.1669324845338373,145.39,0.42,1.0,0.0,0.0,0.0,0.93,-1.63,1.88
13,166,RIPE,342.17,0.0,0.24,2.81,1.336435657365657,113.09,0.79,1.0,0.0,0.0,0.0,1.47,-0.47,1.54
14,5,APNIC,234.72,0.0,0.0,0.12,0.1145301981143506,146.84,0.16,0.0,0.0,0.0,0.0,-1.29,-1.82,2.23
15,7478,RIPE,80.49,0.14,0.69,129.13,4.868563763743857,15.54,1.0,0.6,0.04,0.0,0.0,0.49,2.91,2.95
16,3,RIPE,234.82,0.0,0.0,0.1,0.0981901425885743,147.29,0.16,0.0,0.0,0.0,0.0,-1.29,-1.83,2.24
17,3,RIPE,186.91,0.0,0.67,0.0,7.834365475129137e-05,150.0,0.32,0.0,0.0,0.0,0.0,-1.71,-0.21,1.72
18,3,APNIC,235.11,0.0,0.0,0.05,0.0499816402342868,148.62,0.16,0.0,0.0,0.0,0.0,-1.29,-1.84,2.25
19,2,RIPE,235.15,0.0,0.0,0.04,0.0440078492545154,148.79,0.16,0.0,0.0,0.0,0.0,-1.29,-1.85,2.26
20,2,RIPE,235.25,0.0,0.0,0.03,0.0259965255951733,149.28,0.16,0.0,0.0,0.0,0.0,-1.28,-1.85,2.25
