source,target,count
0,2,3
0,8,2
0,10,27
1,2,11
1,10,6
2,3,2
2,4,42
2,5,2
2,6,6
2,7,19
2,8,13679
2,9,16570
2,10,23017
2,11,3
2,12,19
2,13,1
2,14,4
2,15,5
2,16,15
2,17,8
2,18,1
2,19,12
2,20,6
2,21,1
2,22,7
2,23,23
2,24,1
2,26,2
2,27,14
2,28,4095
2,29,4
2,30,2
2,31,29068
2,32,6
2,33,1
2,34,3
2,35,466
2,36,3
2,37,38
2,38,4
2,39,1
2,40,2
2,41,2
2,42,3
2,43,10
2,45,3
2,46,1
2,48,2
2,49,13
2,50,1
2,51,1
2,52,1
2,56,1
2,57,1
2,58,1
3,10,1
4,8,3
4,9,1
4,10,16
4,31,25
4,35,1
5,10,1
6,10,2
7,8,6
7,10,27
7,31,4
8,9,2489
8,10,3893
8,13,1
8,16,1
8,23,23
8,26,1
8,27,3
8,28,420
8,31,1318
8,35,98
8,37,2
8,38,1
9,10,1100
9,20,1
9,22,1
9,23,6
9,28,134
9,31,1790
9,35,18
9,37,1
10,11,3
10,12,4
10,13,1
10,14,2
10,16,16
10,17,5
10,19,6
10,20,4
10,22,1
10,23,20
10,24,1
10,26,2
10,27,13
10,28,607
10,29,1
10,31,4619
10,32,1
10,35,697
10,36,2
10,37,3
10,38,1
10,39,1
10,40,1
10,41,1
10,48,1
12,31,1
16,31,4
16,35,1
17,31,1
23,35,1
26,31,1
27,31,2
28,31,605
29,31,1
31,35,436
31,37,10
31,42,1
