source,target,count
3,0,6592
9,0,1577
4,0,12562
4,1,7026
4,7,3272
1,9,202
1,0,18176
1,4,2929
1,7,6582
1,3,1614
4,3,1640
0,7,15166
0,1,12987
0,4,5998
3,7,1491
3,1,1220
3,4,502
3,9,94
4,2,6
4,9,412
4,10,16
7,0,13819
7,1,3272
7,4,2679
7,15,5
4,8,12
0,3,8138
4,5,1
0,9,1588
7,9,671
7,3,1473
8,1,2
9,4,251
9,7,982
0,15,33
6,1,5
6,7,1
1,8,2
4,6,5
0,10,11
1,15,18
10,0,3
0,2,15
4,19,2
9,1,103
9,3,55
3,15,10
8,4,2
4,15,13
15,1,2
15,0,4
1,19,1
2,1,2
1,2,1
7,10,6
1,6,8
0,12,5
7,6,8
3,10,2
10,1,1
10,7,1
15,4,1
6,0,1
7,2,1
7,19,1
