community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,93,0.0494505494505494,0.0439560439560439,2.432543304812866,1.233303722595264,116.07306778105468,0.8809523809523809,1.0,0.0,0.0,0.0,RIPE
1,2,0.3333333333333333,0.0,0.0261667015303429,0.0258377299170841,149.28964593258368,0.4621212121212121,1.0,0.0,0.0,0.0,RIPE
2,13115,0.662910015786704,0.2426328714260656,174.38024003633242,5.166956461010473,7.86092400321356,1.0,0.3076923076923077,0.05748717948717949,0.0017537171178040412,0.0003049942813572246,ARIN
3,8,0.1,0.0,0.2368184063250276,0.2125485195441933,144.15335756256786,0.20760233918128654,0.0,0.0,0.0,0.0,ARIN
4,3350,0.045045366864328,0.8963349289133385,68.32039390956369,4.23873925862156,33.39555556360942,1.0,0.9333333333333333,0.0003076923076923077,0.00029850746268656717,0.00029850746268656717,RIPE
5,14,0.2068965517241379,0.2068965517241379,0.3945901835330924,0.3326061296780412,140.8506533755526,0.6805555555555556,1.0,0.0,0.0,0.0,RIPE
6,9,0.2,0.0,0.2485913641295627,0.2220221869430981,143.89274333786466,0.5272727272727272,1.0,0.0,0.0,0.0,RIPE
7,11925,0.0959329745325417,0.7452352549520058,203.28702364108025,5.319526021380465,3.66383791026802,0.0,0.26666666666666666,0.09364102564102564,0.0004192872117400419,0.0007547169811320754,APNIC
8,12912,0.050198658211206,0.9208122269053788,220.07257281173625,5.398491066277793,1.4915625824524992,1.0,0.3787878787878788,0.05235897435897435,0.0,0.0,RIPE
9,187,0.0256410256410256,0.141025641025641,1.901108986371492,1.0650957326636834,120.7003565636408,0.6,1.0,0.0,0.0,0.0,ARIN
10,15,0.1071428571428571,0.0714285714285714,0.4031933641299983,0.3387561124146664,140.68147148269568,0.6805555555555556,1.0,0.0,0.0,0.0,AFRINIC
11,2,0.3333333333333333,0.0,0.0536822115241831,0.0522982204510848,148.56173561703025,0.319047619047619,1.0,0.0,0.0,0.0,AFRINIC
12,5,0.0,0.5714285714285714,4.154314156262242e-05,4.925795251843886e-05,149.99906946882717,0.319047619047619,1.0,0.0,0.0,0.0,LACNIC
13,14105,0.1009221311475409,0.723898999722145,232.39009495664297,5.452711313951912,0.0,1.0,0.5111111111111111,0.008512820512820513,0.0003544842254519674,0.00021269053527118043,LACNIC
14,4,0.0,0.1666666666666666,0.0529705089348916,0.0516225538867803,148.58032275022796,0.319047619047619,1.0,0.0,0.0,0.0,RIPE
15,2954,0.1876841071679057,0.1600504979660541,51.7708014571724,3.9659581812624256,40.899579717747976,1.0,1.0,0.0,0.00033852403520649965,0.00033852403520649965,APNIC
16,3,0.0,0.0,0.0464971169215453,0.0454558810926745,148.74996377535197,0.20760233918128654,0.0,0.0,0.0,0.0,RIPE
17,2,0.0,0.0,0.0261273833103634,0.025799413844717,149.2906999819896,0.10113960113960115,0.0,0.0,0.0,0.0,RIPE
18,6,0.0,0.0,0.0924317123552426,0.0884132033195891,147.56823670429316,0.20760233918128654,0.0,0.0,0.0,0.0,AFRINIC
19,3,0.0,0.0,0.0508808997293484,0.049636106976515,148.63496857001817,0.10113960113960115,0.0,0.0,0.0,0.0,APNIC
20,2,0.0,0.0,0.0261273833103634,0.025799413844717,149.2906999819896,0.10113960113960115,0.0,0.0,0.0,0.0,RIPE
21,2,0.0,0.0,0.0261273833103634,0.025799413844717,149.2906999819896,0.10113960113960115,0.0,0.0,0.0,0.0,RIPE
22,5,0.0,0.0,0.1205198674655373,0.113799631081851,146.869873133918,0.10113960113960115,0.0,0.0,0.0,0.0,APNIC
23,2,0.0,0.0,7.71602414877511e-06,1.543192922462673e-05,150.0,0.10113960113960115,0.0,0.0,0.0,0.0,APNIC
24,3,0.0,0.0,0.050865019276399,0.0496209954102645,148.63538427905212,0.20760233918128654,0.0,0.0,0.0,0.0,RIPE
25,3,0.0,0.0,0.0919536817669219,0.08797552668971,147.58027689430233,0.10113960113960115,0.0,0.0,0.0,0.0,RIPE
26,2,0.0,1.0,2.9071739725318333e-05,3.6787087220867246e-05,149.99941253395224,0.10113960113960115,0.0,0.0,0.0,0.0,RIPE
