Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,93,RIPE,5.0%,4.0%,2.43,0.88,0.0
1,2,RIPE,33.0%,0.0%,0.03,0.46,0.0
2,13115,ARIN,66.0%,24.0%,174.38,1.0,0.06
3,8,ARIN,10.0%,0.0%,0.24,0.21,0.0
4,3350,RIPE,5.0%,90.0%,68.32,1.0,0.0
5,14,RIPE,21.0%,21.0%,0.39,0.68,0.0
6,9,RIPE,20.0%,0.0%,0.25,0.53,0.0
7,11925,APNIC,10.0%,75.0%,203.29,0.0,0.09
8,12912,RIPE,5.0%,92.0%,220.07,1.0,0.05
9,187,ARIN,3.0%,14.0%,1.9,0.6,0.0
10,15,AFRINIC,11.0%,7.0%,0.4,0.68,0.0
11,2,AFRINIC,33.0%,0.0%,0.05,0.32,0.0
12,5,LACNIC,0.0%,57.0%,0.0,0.32,0.0
13,14105,LACNIC,10.0%,72.0%,232.39,1.0,0.01
14,4,RIPE,0.0%,17.0%,0.05,0.32,0.0
15,2954,APNIC,19.0%,16.0%,51.77,1.0,0.0
16,3,RIPE,0.0%,0.0%,0.05,0.21,0.0
17,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
18,6,AFRINIC,0.0%,0.0%,0.09,0.21,0.0
19,3,APNIC,0.0%,0.0%,0.05,0.1,0.0
20,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
21,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
22,5,APNIC,0.0%,0.0%,0.12,0.1,0.0
23,2,APNIC,0.0%,0.0%,0.0,0.1,0.0
24,3,RIPE,0.0%,0.0%,0.05,0.21,0.0
25,3,RIPE,0.0%,0.0%,0.09,0.1,0.0
26,2,RIPE,0.0%,100.0%,0.0,0.1,0.0
