community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,14384,0.14,0.74,230.53,5.444729387873231,2.93,1.0,0.33,0.06,0.0,0.0,LACNIC,5.38,1.41,14.71,5.56
1,9,0.0,0.17,0.18,0.1616393760242735,145.63,0.19,1.0,0.0,0.0,0.0,ARIN,-0.9,-0.37,202.32,0.97
2,2,0.25,0.0,0.03,0.0258209006377032,149.3,0.3,1.0,0.0,0.0,0.0,RIPE,-1.62,-1.66,225.72,2.32
3,2172,0.03,0.93,46.15,3.853336759884594,45.91,1.0,0.81,0.0,0.0,0.0,RIPE,2.76,-1.48,331.69,3.13
4,8,0.1,0.0,0.24,0.2125488666956851,144.26,0.16,0.0,0.0,0.0,0.0,ARIN,-1.86,0.97,152.47,2.1
5,6,0.2,0.0,0.19,0.1771464886775987,145.22,0.3,1.0,0.0,0.0,0.0,RIPE,-1.47,-1.39,223.36,2.02
6,13904,0.05,0.91,251.35,5.530830075195113,0.6,0.0,0.21,0.11,0.0,0.0,RIPE,4.89,4.28,41.23,6.5
7,15438,0.1,0.65,257.02,5.553024334739268,0.0,1.0,0.35,0.08,0.0,0.0,APNIC,5.79,1.86,17.82,6.08
8,5,0.17,0.0,0.09,0.0860678901047811,147.68,0.19,1.0,0.0,0.0,0.0,RIPE,-1.64,-1.1,213.8,1.97
9,43,0.0,0.18,0.97,0.6776194418222191,131.7,0.49,1.0,0.0,0.0,0.0,RIPE,-0.19,-0.67,254.3,0.7
10,624,0.1,0.87,9.12,2.3142506912997702,87.49,1.0,1.0,0.0,0.0,0.0,AFRINIC,1.94,-2.2,311.32,2.93
11,165,0.0,0.13,1.17,0.776287885100471,129.03,0.19,1.0,0.0,0.0,0.0,ARIN,-0.77,-0.34,203.42,0.84
12,3,0.0,0.33,0.03,0.0294397701494842,149.21,0.4,1.0,0.0,0.0,0.0,RIPE,-0.14,-0.38,249.36,0.4
13,15,0.09,0.28,0.34,0.2916016338755735,142.12,0.49,1.0,0.0,0.0,0.0,RIPE,-0.45,-1.16,248.64,1.24
14,11502,0.69,0.23,157.34,5.064764405581246,13.19,1.0,0.2,0.09,0.0,0.0,ARIN,6.57,-1.89,343.92,6.84
15,5,0.0,0.0,0.11,0.1039923651710187,147.19,0.19,1.0,0.0,0.0,0.0,LACNIC,-1.27,-0.45,199.29,1.35
16,10,0.05,0.05,0.34,0.2896895680055386,142.18,0.3,1.0,0.0,0.0,0.0,RIPE,-0.97,-0.7,216.09,1.2
17,21,0.0,0.02,0.5,0.4078637742639086,138.98,0.61,1.0,0.0,0.0,0.0,RIPE,-0.17,-1.04,260.94,1.05
18,11,0.07,0.0,0.21,0.1886382766763877,144.9,0.19,1.0,0.0,0.0,0.0,RIPE,-1.35,-0.68,206.91,1.51
19,85,0.03,0.12,1.83,1.0400983094728065,121.9,0.61,1.0,0.0,0.0,0.0,APNIC,0.04,-0.97,272.15,0.97
20,2,0.33,0.0,0.0,1.628719870514973e-05,150.0,0.19,1.0,0.0,0.0,0.0,RIPE,-2.04,-2.0,224.43,2.86
21,4,0.12,0.25,0.07,0.0694707712113637,148.12,0.4,1.0,0.0,0.0,0.0,RIPE,-0.75,-1.18,237.68,1.4
22,72,0.02,0.01,1.87,1.053227942762936,121.55,0.61,1.0,0.0,0.0,0.0,APNIC,-0.03,-1.04,268.24,1.04
23,2,0.0,0.0,0.03,0.0257998493140719,149.3,0.09,0.0,0.0,0.0,0.0,RIPE,-1.56,1.38,138.6,2.08
24,3,0.0,0.0,0.05,0.0496365489350688,148.66,0.09,0.0,0.0,0.0,0.0,APNIC,-1.55,1.38,138.41,2.08
25,2,0.0,0.0,0.03,0.0257998493140719,149.3,0.09,0.0,0.0,0.0,0.0,RIPE,-1.56,1.38,138.6,2.08
26,2,0.0,0.0,0.03,0.0257998493140719,149.3,0.09,0.0,0.0,0.0,0.0,RIPE,-1.56,1.38,138.6,2.08
27,3,0.0,0.0,0.11,0.1047265865986759,147.17,0.09,0.0,0.0,0.0,0.0,APNIC,-1.53,1.38,137.96,2.06
28,5,0.0,0.0,0.12,0.1137999854153488,146.93,0.09,0.0,0.0,0.0,0.0,APNIC,-1.53,1.38,137.88,2.06
29,3,0.0,0.0,0.05,0.0496218433049658,148.66,0.16,0.0,0.0,0.0,0.0,RIPE,-1.4,1.34,136.32,1.94
30,60,0.04,0.1,1.42,0.885355933404389,126.08,0.88,1.0,0.0,0.0,0.0,RIPE,0.3,-1.71,279.82,1.74
31,3,0.0,0.0,0.09,0.0879759407881889,147.62,0.09,0.0,0.0,0.0,0.0,RIPE,-1.54,1.38,138.1,2.07
32,2,0.0,1.0,0.0,3.737475779453531e-05,150.0,0.09,0.0,0.0,0.0,0.0,RIPE,0.22,2.88,85.73,2.89
