Previous Time Slice,Previous Community,Current Time Slice,Current Community,Similarity,Event
202404,0,202405,-1,,Dies
202404,1,202405,-1,,Dies
202404,2,202405,2,0.8344125390767855,Continues
202404,3,202405,-1,,Dies
202404,4,202405,-1,,Dies
202404,5,202405,-1,,Dies
202404,6,202405,15,0.4127152046002767,Continues
202404,7,202405,25,0.6056601214476105,Continues
202404,8,202405,0,0.4970583572747943,Continues
202404,9,202405,16,0.21733332149692788,Continues
202404,10,202405,7,1.0,Continues
202404,11,202405,-1,,Dies
202404,12,202405,-1,,Dies
202404,13,202405,-1,,Dies
202404,14,202405,8,1.0,Continues
202404,15,202405,-1,,Dies
202404,16,202405,3,0.4367039789373429,Continues
202404,17,202405,-1,,Dies
202404,18,202405,1,0.23218948456582825,Continues
202404,19,202405,-1,,Dies
202404,20,202405,-1,,Dies
202404,21,202405,-1,,Dies
202404,22,202405,-1,,Dies
202404,23,202405,4,0.7572026136807313,Continues
202404,24,202405,-1,,Dies
202404,25,202405,-1,,Dies
202404,26,202405,-1,,Dies
202404,27,202405,22,1.0,Continues
202404,28,202405,-1,,Dies
202404,29,202405,-1,,Dies
202404,30,202405,-1,,Dies
202404,31,202405,-1,,Dies
202404,32,202405,30,1.0,Continues
202404,33,202405,32,1.0,Continues
202404,34,202405,-1,,Dies
202404,35,202405,37,1.0,Continues
202404,36,202405,38,1.0,Continues
202404,37,202405,39,1.0,Continues
202404,38,202405,-1,,Dies
202404,39,202405,-1,,Dies
202404,40,202405,42,1.0,Continues
202404,41,202405,-1,,Dies
202404,42,202405,-1,,Dies
202404,43,202405,-1,,Dies
202404,44,202405,-1,,Dies
202404,45,202405,-1,,Dies
202404,46,202405,62,1.0,Continues
202404,47,202405,-1,,Dies
202404,48,202405,50,0.8265282082044623,Continues
202404,49,202405,52,1.0,Continues
202404,50,202405,54,1.0,Continues
202404,51,202405,55,1.0,Continues
202404,52,202405,56,0.7999897271268057,Continues
202404,53,202405,57,1.0,Continues
202404,54,202405,-1,,Dies
202404,55,202405,-1,,Dies
