202401,202402,202403,202404,202405,202406,202407,202408,202409,202410
227.43,403.44,287.95,297.25,220.07,251.35,216.12,262.53,261.74,305.87
129.13,,,,,,,,,
206.7,194.07,258.62,172.44,232.39,230.53,232.75,192.21,250.11,282.87
164.72,148.54,142.13,165.66,174.38,157.34,175.6,164.11,136.02,172.27
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
1.11,0.25,,,,,,,,
179.1,101.37,142.89,216.04,,,,,,137.07
,33.12,51.78,1.01,203.29,257.02,199.15,255.2,144.59,92.24
0.03,0.03,,2.03,,,,,,
2.81,6.04,,6.35,51.77,257.02,,,,
0.1,0.1,,1.01,51.77,,,,,
0.04,0.04,0.04,,2.43,1.42,1.47,,,
53.35,56.31,61.9,71.75,68.32,46.15,47.27,61.82,48.82,0.52
,,,,,,,,88.34,
1.89,1.04,1.05,1.93,1.9,1.17,1.17,0.39,1.88,1.59
